Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
30791165,"08:51, 18 August 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30757359,"15:53, 5 August 2022",Agusbou2015,False,revert,active,,1,(RCP reverted edits by 71.200.81.197 (talk) to  revision #30705662 by Votebot)
30757238,"15:01, 5 August 2022",71.200.81.197,False,deletion,reverted,Agusbou2015,-1,
30705662,"08:55, 18 July 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30631599,"08:48, 17 June 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30552007,"09:21, 17 May 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30448654,"09:13, 7 April 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30383911,"13:46, 14 March 2022",Wikivisual,False,major_addition,active,,505,(Saving new step-by-step photos)
30363819,"10:20, 7 March 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30347319,"15:21, 1 March 2022",Seymour Edits,False,addition,active,,201,"(revised some steps, changed a step to a tip, added a step)"
30337654,"00:00, 26 February 2022",Seymour Edits,False,major_addition,active,,6639,"(added a section, reorganized sections)"
30218744,"09:53, 20 January 2022",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30150219,"09:53, 20 December 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30075456,"09:59, 19 November 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30060505,"10:05, 14 November 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30053433,"10:07, 11 November 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
30030048,"09:03, 2 November 2021",HumanBeing,False,revert,active,,-21,(RCP reverted edits by 37.210.226.251 (talk) to  revision #30004929 by Votebot)
30029956,"07:54, 2 November 2021",37.210.226.251,False,addition,reverted,HumanBeing,21,
30004929,"08:59, 25 October 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29968393,"16:52, 12 October 2021",Kirajan,False,deletion,active,,-27,"(combined M3/M5 and moved to the top, changed header)"
29782466,"09:58, 5 August 2021",RelatedWikihowsBot,False,deletion,active,,-23,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29763633,"08:56, 28 July 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29748144,"09:00, 21 July 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29745421,"21:32, 19 July 2021",Kyle Hall,False,revert,active,,1,(reverting)
29737225,"08:55, 16 July 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29736071,"18:06, 15 July 2021",Kyle Hall,False,revert,active,,21288,(reverting article)
29692207,"23:23, 28 June 2021",MiscBot,False,addition,active,,10,(Adding magic word for staff experiment)
29629267,"17:23, 5 June 2021",XxVxX,False,revert,active,,-1916,(RCP reverted edits by Pink with advise (talk) to  revision #29629199 by ICanGuessItLol)
29629230,"17:08, 5 June 2021",Pink with advise,False,major_addition,reverted,XxVxX,1916,
29629199,"16:30, 5 June 2021",ICanGuessItLol,False,revert,reverted,XxVxX,-94,(Reverted edits by 41.190.30.147 (Talk); changed back to last version by GB742)
29629174,"16:29, 5 June 2021",41.190.30.147,False,addition,reverted,ICanGuessItLol,94,"(Hi there ,If you are ready this you propably what to start babysitting .What might being going through your head ""Nah! it can not be that hard""  But to say the least , Babysitting is not hard it just comes with responsibilities)"
29562197,"21:18, 17 May 2021",GB742,False,revert,reverted,ICanGuessItLol,-51,(RCP reverted edits by 71.86.130.2 (talk) to  revision #29546126 by Votebot)
29562134,"20:49, 17 May 2021",71.86.130.2,False,addition,reverted,GB742,51,
29546126,"08:55, 13 May 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29525810,"19:12, 6 May 2021",108.41.0.252,False,addition,active,,74,
29514233,"09:56, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-23,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29445966,"09:00, 15 April 2021",MadeInHeaven,False,revert,active,,1,(RCP reverted edits by 90.251.121.184 (talk) to  revision #29386150 by Galactic Radiance)
29445939,"08:55, 15 April 2021",90.251.121.184,False,deletion,reverted,MadeInHeaven,-1,
29386150,"00:06, 27 March 2021",WikiHowUser20230227233914,False,addition,reverted,MadeInHeaven,6,(adding fa tag)
29335730,"09:08, 16 March 2021",Votebot,False,deletion,reverted,Alabaster,-1,(reordering tips and warnings based on votes)
29303086,"08:16, 8 March 2021",Wikivisual,False,addition,active,,272,(Saving new step-by-step photos)
29266674,"21:04, 25 February 2021",Seymour Edits,False,major_addition,active,,1805,"(Split up Q1 into multiple questions, added more info to Q2.)"
29261243,"21:27, 24 February 2021",Seymour Edits,False,major_deletion,active,,-23579,(Made into QAM format.)
29208668,"09:54, 13 February 2021",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
29124552,"19:43, 22 January 2021",24.88.252.207,False,addition,active,,13,
28987821,"20:21, 14 December 2020",168.8.211.63,False,addition,active,,142,
28981584,"09:51, 13 December 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
28877251,"21:33, 16 November 2020",Dr. Carrie,False,deletion,active,,-1,(method order switchh)
28696784,"12:59, 5 October 2020",Eric,False,revert,active,,-39,(Reverted edits by 142.227.185.33 (Talk); changed back to last version by Dr. Carrie)
28696769,"12:52, 5 October 2020",142.227.185.33,False,addition,reverted,Eric,39,
28618877,"19:09, 15 September 2020",Dr. Carrie,False,adjustment,reverted,Eric,0,(step order switch)
